1	17	4	3
2	13	3	2
3	4	4	2
3	19	2	3
4	3	3	3
4	7	4	2
4	8	2	3
4	19	3	2
5	4	1	3
5	21	4	3
5	24	2	4
6	14	4	1
6	16	1	3
6	23	3	2
7	8	4	3
7	9	4	2
7	10	3	1
7	15	3	4
7	19	4	2
7	24	1	1
8	15	2	3
9	6	3	3
9	14	4	3
10	9	3	4
10	15	4	4
10	24	3	2
11	2	2	1
11	23	3	4
12	17	2	3
12	20	3	4
14	6	5	3
14	12	3	4
14	23	2	2
15	6	2	2
15	8	3	3
15	10	3	5
15	14	3	2
16	20	3	2
17	1	4	3
17	13	4	2
17	23	2	3
18	8	3	2
18	15	2	4
18	22	3	2
19	3	2	3
19	4	2	3
19	7	3	2
19	8	4	3
20	2	3	4
20	11	3	3
20	13	2	1
20	16	3	3
21	4	3	3
22	12	2	3
22	14	2	4
22	18	4	4
23	12	3	1
23	14	1	3
23	16	3	3
23	20	1	2
24	7	4	2
